sale_date,sale_hour,guests_count
2026-04-20,7,48
2026-04-20,8,79
2026-04-20,9,87
2026-04-20,10,72
2026-04-20,11,98
2026-04-20,12,165
2026-04-20,13,177
2026-04-20,14,143
2026-04-20,15,133
2026-04-20,16,122
2026-04-20,17,121
2026-04-20,18,135
2026-04-20,19,119
2026-04-20,20,105
2026-04-20,21,81
2026-04-20,22,63
2026-04-21,7,50
2026-04-21,8,85
2026-04-21,9,89
2026-04-21,10,79
2026-04-21,11,101
2026-04-21,12,189
2026-04-21,13,184
2026-04-21,14,152
2026-04-21,15,138
2026-04-21,16,129
2026-04-21,17,131
2026-04-21,18,144
2026-04-21,19,132
2026-04-21,20,108
2026-04-21,21,81
2026-04-21,22,68
2026-04-22,7,51
2026-04-22,8,81
2026-04-22,9,93
2026-04-22,10,85
2026-04-22,11,103
2026-04-22,12,177
2026-04-22,13,190
2026-04-22,14,151
2026-04-22,15,136
2026-04-22,16,126
2026-04-22,17,137
2026-04-22,18,143
2026-04-22,19,135
2026-04-22,20,111
2026-04-22,21,88
2026-04-22,22,68
2026-04-23,7,51
2026-04-23,8,88
2026-04-23,9,100
2026-04-23,10,82
2026-04-23,11,102
2026-04-23,12,176
2026-04-23,13,192
2026-04-23,14,152
2026-04-23,15,145
2026-04-23,16,130
2026-04-23,17,135
2026-04-23,18,149
2026-04-23,19,136
2026-04-23,20,114
2026-04-23,21,94
2026-04-23,22,76
2026-04-24,7,59
2026-04-24,8,94
2026-04-24,9,102
2026-04-24,10,87
2026-04-24,11,104
2026-04-24,12,190
2026-04-24,13,206
2026-04-24,14,167
2026-04-24,15,154
2026-04-24,16,142
2026-04-24,17,152
2026-04-24,18,164
2026-04-24,19,148
2026-04-24,20,129
2026-04-24,21,112
2026-04-24,22,94
2026-04-25,7,27
2026-04-25,8,54
2026-04-25,9,65
2026-04-25,10,68
2026-04-25,11,88
2026-04-25,12,117
2026-04-25,13,135
2026-04-25,14,139
2026-04-25,15,139
2026-04-25,16,138
2026-04-25,17,150
2026-04-25,18,143
2026-04-25,19,132
2026-04-25,20,115
2026-04-25,21,95
2026-04-25,22,85
2026-04-26,7,21
2026-04-26,8,34
2026-04-26,9,49
2026-04-26,10,55
2026-04-26,11,60
2026-04-26,12,85
2026-04-26,13,109
2026-04-26,14,116
2026-04-26,15,128
2026-04-26,16,120
2026-04-26,17,123
2026-04-26,18,127
2026-04-26,19,112
2026-04-26,20,94
2026-04-26,21,79
2026-04-26,22,69
