sale_date,sale_hour,guests_count
2026-04-06,7,48
2026-04-06,8,79
2026-04-06,9,87
2026-04-06,10,72
2026-04-06,11,98
2026-04-06,12,165
2026-04-06,13,177
2026-04-06,14,143
2026-04-06,15,133
2026-04-06,16,122
2026-04-06,17,121
2026-04-06,18,135
2026-04-06,19,119
2026-04-06,20,105
2026-04-06,21,81
2026-04-06,22,63
2026-04-07,7,50
2026-04-07,8,85
2026-04-07,9,89
2026-04-07,10,79
2026-04-07,11,101
2026-04-07,12,189
2026-04-07,13,184
2026-04-07,14,152
2026-04-07,15,138
2026-04-07,16,129
2026-04-07,17,131
2026-04-07,18,144
2026-04-07,19,132
2026-04-07,20,108
2026-04-07,21,81
2026-04-07,22,68
2026-04-08,7,51
2026-04-08,8,81
2026-04-08,9,93
2026-04-08,10,85
2026-04-08,11,103
2026-04-08,12,177
2026-04-08,13,190
2026-04-08,14,151
2026-04-08,15,136
2026-04-08,16,126
2026-04-08,17,137
2026-04-08,18,143
2026-04-08,19,135
2026-04-08,20,111
2026-04-08,21,88
2026-04-08,22,68
2026-04-09,7,51
2026-04-09,8,88
2026-04-09,9,100
2026-04-09,10,82
2026-04-09,11,102
2026-04-09,12,176
2026-04-09,13,192
2026-04-09,14,152
2026-04-09,15,145
2026-04-09,16,130
2026-04-09,17,135
2026-04-09,18,149
2026-04-09,19,136
2026-04-09,20,114
2026-04-09,21,94
2026-04-09,22,76
2026-04-10,7,59
2026-04-10,8,94
2026-04-10,9,102
2026-04-10,10,87
2026-04-10,11,104
2026-04-10,12,190
2026-04-10,13,206
2026-04-10,14,167
2026-04-10,15,154
2026-04-10,16,142
2026-04-10,17,152
2026-04-10,18,164
2026-04-10,19,148
2026-04-10,20,129
2026-04-10,21,112
2026-04-10,22,94
2026-04-11,7,27
2026-04-11,8,54
2026-04-11,9,65
2026-04-11,10,68
2026-04-11,11,88
2026-04-11,12,117
2026-04-11,13,135
2026-04-11,14,139
2026-04-11,15,139
2026-04-11,16,138
2026-04-11,17,150
2026-04-11,18,143
2026-04-11,19,132
2026-04-11,20,115
2026-04-11,21,95
2026-04-11,22,85
2026-04-12,7,21
2026-04-12,8,34
2026-04-12,9,49
2026-04-12,10,55
2026-04-12,11,60
2026-04-12,12,85
2026-04-12,13,109
2026-04-12,14,116
2026-04-12,15,128
2026-04-12,16,120
2026-04-12,17,123
2026-04-12,18,127
2026-04-12,19,112
2026-04-12,20,94
2026-04-12,21,79
2026-04-12,22,69
