sale_date,sale_hour,guests_count
2026-04-06,7,66
2026-04-06,8,92
2026-04-06,9,97
2026-04-06,10,78
2026-04-06,11,108
2026-04-06,12,191
2026-04-06,13,189
2026-04-06,14,169
2026-04-06,15,145
2026-04-06,16,125
2026-04-06,17,136
2026-04-06,18,129
2026-04-06,19,108
2026-04-06,20,112
2026-04-06,21,82
2026-04-06,22,62
2026-04-07,7,53
2026-04-07,8,93
2026-04-07,9,92
2026-04-07,10,88
2026-04-07,11,119
2026-04-07,12,198
2026-04-07,13,215
2026-04-07,14,166
2026-04-07,15,159
2026-04-07,16,143
2026-04-07,17,142
2026-04-07,18,155
2026-04-07,19,131
2026-04-07,20,106
2026-04-07,21,87
2026-04-07,22,71
2026-04-08,7,51
2026-04-08,8,87
2026-04-08,9,100
2026-04-08,10,89
2026-04-08,11,104
2026-04-08,12,183
2026-04-08,13,207
2026-04-08,14,149
2026-04-08,15,134
2026-04-08,16,123
2026-04-08,17,141
2026-04-08,18,145
2026-04-08,19,127
2026-04-08,20,119
2026-04-08,21,84
2026-04-08,22,68
2026-04-09,7,62
2026-04-09,8,90
2026-04-09,9,103
2026-04-09,10,85
2026-04-09,11,113
2026-04-09,12,199
2026-04-09,13,178
2026-04-09,14,151
2026-04-09,15,152
2026-04-09,16,122
2026-04-09,17,123
2026-04-09,18,134
2026-04-09,19,108
2026-04-09,20,99
2026-04-09,21,93
2026-04-09,22,79
2026-04-10,7,57
2026-04-10,8,129
2026-04-10,9,100
2026-04-10,10,76
2026-04-10,11,111
2026-04-10,12,198
2026-04-10,13,223
2026-04-10,14,170
2026-04-10,15,148
2026-04-10,16,147
2026-04-10,17,171
2026-04-10,18,171
2026-04-10,19,145
2026-04-10,20,127
2026-04-10,21,114
2026-04-10,22,96
2026-04-11,7,25
2026-04-11,8,55
2026-04-11,9,68
2026-04-11,10,68
2026-04-11,11,85
2026-04-11,12,126
2026-04-11,13,131
2026-04-11,14,142
2026-04-11,15,129
2026-04-11,16,134
2026-04-11,17,147
2026-04-11,18,119
2026-04-11,19,111
2026-04-11,20,124
2026-04-11,21,102
2026-04-11,22,91
2026-04-12,7,18
2026-04-12,8,32
2026-04-12,9,47
2026-04-12,10,47
2026-04-12,11,56
2026-04-12,12,85
2026-04-12,13,103
2026-04-12,14,99
2026-04-12,15,118
2026-04-12,16,118
2026-04-12,17,123
2026-04-12,18,101
2026-04-12,19,110
2026-04-12,20,82
2026-04-12,21,79
2026-04-12,22,64
