ID,guests_count
2026-04-27-07,40
2026-04-27-08,60
2026-04-27-09,74
2026-04-27-10,66
2026-04-27-11,84
2026-04-27-12,133
2026-04-27-13,148
2026-04-27-14,137
2026-04-27-15,132
2026-04-27-16,123
2026-04-27-17,125
2026-04-27-18,128
2026-04-27-19,119
2026-04-27-20,103
2026-04-27-21,86
2026-04-27-22,75
2026-04-28-07,48
2026-04-28-08,77
2026-04-28-09,88
2026-04-28-10,76
2026-04-28-11,105
2026-04-28-12,165
2026-04-28-13,171
2026-04-28-14,152
2026-04-28-15,142
2026-04-28-16,130
2026-04-28-17,129
2026-04-28-18,140
2026-04-28-19,130
2026-04-28-20,111
2026-04-28-21,91
2026-04-28-22,72
2026-04-29-07,50
2026-04-29-08,81
2026-04-29-09,89
2026-04-29-10,81
2026-04-29-11,98
2026-04-29-12,160
2026-04-29-13,173
2026-04-29-14,150
2026-04-29-15,142
2026-04-29-16,128
2026-04-29-17,133
2026-04-29-18,149
2026-04-29-19,137
2026-04-29-20,114
2026-04-29-21,89
2026-04-29-22,75
2026-04-30-07,52
2026-04-30-08,82
2026-04-30-09,91
2026-04-30-10,78
2026-04-30-11,113
2026-04-30-12,168
2026-04-30-13,178
2026-04-30-14,161
2026-04-30-15,147
2026-04-30-16,131
2026-04-30-17,144
2026-04-30-18,146
2026-04-30-19,137
2026-04-30-20,121
2026-04-30-21,102
2026-04-30-22,84
2026-05-01-07,39
2026-05-01-08,59
2026-05-01-09,65
2026-05-01-10,64
2026-05-01-11,72
2026-05-01-12,114
2026-05-01-13,123
2026-05-01-14,126
2026-05-01-15,122
2026-05-01-16,122
2026-05-01-17,129
2026-05-01-18,129
2026-05-01-19,120
2026-05-01-20,109
2026-05-01-21,97
2026-05-01-22,80
2026-05-02-07,30
2026-05-02-08,44
2026-05-02-09,60
2026-05-02-10,63
2026-05-02-11,80
2026-05-02-12,109
2026-05-02-13,129
2026-05-02-14,127
2026-05-02-15,136
2026-05-02-16,136
2026-05-02-17,137
2026-05-02-18,132
2026-05-02-19,120
2026-05-02-20,106
2026-05-02-21,96
2026-05-02-22,97
2026-05-03-07,25
2026-05-03-08,37
2026-05-03-09,50
2026-05-03-10,52
2026-05-03-11,57
2026-05-03-12,80
2026-05-03-13,100
2026-05-03-14,111
2026-05-03-15,120
2026-05-03-16,123
2026-05-03-17,128
2026-05-03-18,125
2026-05-03-19,112
2026-05-03-20,101
2026-05-03-21,87
2026-05-03-22,88
