ds,station_key,employee_id,starttime,finishtime
2026-04-20,BVR,43,7,16
2026-04-20,BVR,20,16,23
2026-04-20,C,6,7,14
2026-04-20,C,47,7,15
2026-04-20,C,38,12,20
2026-04-20,C,45,12,16
2026-04-20,C,61,12,17
2026-04-20,C,17,14,23
2026-04-20,C,27,16,20
2026-04-20,C,30,18,23
2026-04-20,FF,2,7,16
2026-04-20,FF,3,16,23
2026-04-20,K,4,7,15
2026-04-20,K,31,7,14
2026-04-20,K,59,7,14
2026-04-20,K,1,8,17
2026-04-20,K,36,8,15
2026-04-20,K,5,12,16
2026-04-20,K,11,12,20
2026-04-20,K,52,14,23
2026-04-20,K,54,14,23
2026-04-20,K,14,16,23
2026-04-20,K,44,16,23
2026-04-20,K,49,18,22
2026-04-20,TS,8,7,16
2026-04-20,TS,50,16,23
2026-04-21,BVR,4,7,16
2026-04-21,BVR,66,16,23
2026-04-21,C,19,7,14
2026-04-21,C,32,7,15
2026-04-21,C,36,12,21
2026-04-21,C,38,12,20
2026-04-21,C,54,12,19
2026-04-21,C,6,14,23
2026-04-21,C,33,19,23
2026-04-21,FF,47,7,16
2026-04-21,FF,20,16,23
2026-04-21,K,8,7,14
2026-04-21,K,14,7,15
2026-04-21,K,28,7,15
2026-04-21,K,52,8,17
2026-04-21,K,59,8,17
2026-04-21,K,5,12,16
2026-04-21,K,45,12,16
2026-04-21,K,7,14,23
2026-04-21,K,15,15,23
2026-04-21,K,17,16,23
2026-04-21,K,35,17,23
2026-04-21,K,39,17,20
2026-04-21,K,46,18,23
2026-04-21,TS,44,7,16
2026-04-21,TS,3,16,23
2026-04-22,BVR,17,7,16
2026-04-22,BVR,20,16,23
2026-04-22,C,32,7,14
2026-04-22,C,52,7,14
2026-04-22,C,45,11,14
2026-04-22,C,16,12,16
2026-04-22,C,22,12,19
2026-04-22,C,19,13,21
2026-04-22,C,38,13,20
2026-04-22,C,3,16,23
2026-04-22,C,33,19,23
2026-04-22,FF,47,7,14
2026-04-22,FF,2,14,23
2026-04-22,K,31,7,14
2026-04-22,K,43,7,14
2026-04-22,K,44,7,14
2026-04-22,K,1,8,15
2026-04-22,K,8,8,15
2026-04-22,K,5,12,16
2026-04-22,K,51,12,16
2026-04-22,K,4,13,20
2026-04-22,K,14,14,23
2026-04-22,K,7,15,23
2026-04-22,K,15,15,23
2026-04-22,K,11,16,23
2026-04-22,K,30,17,23
2026-04-22,TS,28,7,14
2026-04-22,TS,18,13,20
2026-04-22,TS,6,20,23
2026-04-23,BVR,43,7,14
2026-04-23,BVR,50,14,23
2026-04-23,C,28,7,14
2026-04-23,C,32,7,16
2026-04-23,C,23,12,19
2026-04-23,C,45,12,16
2026-04-23,C,51,12,16
2026-04-23,C,3,16,23
2026-04-23,C,34,16,20
2026-04-23,C,41,17,21
2026-04-23,C,33,19,23
2026-04-23,FF,19,7,16
2026-04-23,FF,47,16,23
2026-04-23,K,1,7,16
2026-04-23,K,54,7,14
2026-04-23,K,66,7,16
2026-04-23,K,38,8,17
2026-04-23,K,56,11,14
2026-04-23,K,5,12,16
2026-04-23,K,21,12,16
2026-04-23,K,11,14,23
2026-04-23,K,7,16,23
2026-04-23,K,15,16,23
2026-04-23,K,40,16,20
2026-04-23,K,36,17,23
2026-04-23,K,62,18,22
2026-04-23,TS,8,7,16
2026-04-23,TS,20,16,23
2026-04-24,BVR,4,7,14
2026-04-24,BVR,31,14,23
