sale_date,sale_hour,guests_count
2026-04-20,7,57
2026-04-20,8,93
2026-04-20,9,95
2026-04-20,10,71
2026-04-20,11,96
2026-04-20,12,161
2026-04-20,13,167
2026-04-20,14,158
2026-04-20,15,129
2026-04-20,16,139
2026-04-20,17,118
2026-04-20,18,135
2026-04-20,19,132
2026-04-20,20,101
2026-04-20,21,86
2026-04-20,22,63
2026-04-21,7,49
2026-04-21,8,88
2026-04-21,9,103
2026-04-21,10,81
2026-04-21,11,102
2026-04-21,12,186
2026-04-21,13,185
2026-04-21,14,179
2026-04-21,15,135
2026-04-21,16,127
2026-04-21,17,128
2026-04-21,18,149
2026-04-21,19,138
2026-04-21,20,123
2026-04-21,21,94
2026-04-21,22,82
2026-04-22,7,50
2026-04-22,8,95
2026-04-22,9,99
2026-04-22,10,88
2026-04-22,11,118
2026-04-22,12,168
2026-04-22,13,206
2026-04-22,14,153
2026-04-22,15,137
2026-04-22,16,131
2026-04-22,17,142
2026-04-22,18,148
2026-04-22,19,141
2026-04-22,20,106
2026-04-22,21,89
2026-04-22,22,82
2026-04-23,7,45
2026-04-23,8,86
2026-04-23,9,83
2026-04-23,10,63
2026-04-23,11,90
2026-04-23,12,164
2026-04-23,13,178
2026-04-23,14,149
2026-04-23,15,134
2026-04-23,16,124
2026-04-23,17,129
2026-04-23,18,144
2026-04-23,19,140
2026-04-23,20,108
2026-04-23,21,99
2026-04-23,22,75
2026-04-24,7,62
2026-04-24,8,91
2026-04-24,9,102
2026-04-24,10,88
2026-04-24,11,100
2026-04-24,12,189
2026-04-24,13,190
2026-04-24,14,201
2026-04-24,15,149
2026-04-24,16,150
2026-04-24,17,151
2026-04-24,18,154
2026-04-24,19,153
2026-04-24,20,136
2026-04-24,21,110
2026-04-24,22,92
2026-04-25,7,23
2026-04-25,8,58
2026-04-25,9,70
2026-04-25,10,71
2026-04-25,11,85
2026-04-25,12,133
2026-04-25,13,155
2026-04-25,14,138
2026-04-25,15,162
2026-04-25,16,144
2026-04-25,17,137
2026-04-25,18,156
2026-04-25,19,141
2026-04-25,20,114
2026-04-25,21,100
2026-04-25,22,118
2026-04-26,7,8
2026-04-26,8,20
2026-04-26,9,17
2026-04-26,10,56
2026-04-26,11,61
2026-04-26,12,81
2026-04-26,13,116
2026-04-26,14,122
2026-04-26,15,108
2026-04-26,16,116
2026-04-26,17,129
2026-04-26,18,127
2026-04-26,19,128
2026-04-26,20,100
2026-04-26,21,70
2026-04-26,22,76
